Platform,Space,Data Point,MCL UI,MCL API,Brandwatch
Instagram,Business/Creator Account,Post Type,"Visible when post is categorized (e.g., shared link, status).","Visible when post is categorized (e.g., shared link, status).",Y
Instagram,Business/Creator Account,Branded Content Sponsor,Available only if post is branded content.,Available only if post is branded content.,N
Instagram,Business/Creator Account,Timestamp (Exact),Included in API and visible in UI.,Included in API and visible in UI.,Y
Instagram,Business/Creator Account,Edit History / Last Updated Time,May be visible in UI; limited API access.,May be visible in UI; limited API access.,N
Instagram,Business/Creator Account,Engagement Breakdown,Available only via API for reactions breakdown.,Available only via API for reactions breakdown.,Y
Instagram,Business/Creator Account,Platform Source,"Shown for some posts (e.g., mobile/web).","Shown for some posts (e.g., mobile/web).",Y
Instagram,Business/Creator Account,Video Duration,Only available for video posts.,Only available for video posts.,Y
Instagram,Business/Creator Account,Is Live Video,Only applicable to live video content.,Only applicable to live video content.,N
Instagram,Business/Creator Account,Is Crossposted,Only shown for crossposted videos.,Only shown for crossposted videos.,N
Instagram,Business/Creator Account,Thumbnail URL,Shown for videos and links.,Shown for videos and links.,Y
Instagram,Business/Creator Account,Caption,Applies to video content; shown in UI and API.,Applies to video content; shown in UI and API.,Y
Instagram,Business/Creator Account,Hashtags,Parsed from post text if present.,Parsed from post text if present.,Y
Instagram,Business/Creator Account,Mentions,Shown when post includes mentions.,Shown when post includes mentions.,Y
Instagram,Business/Creator Account,Page Verification Status,Only for Pages; shown in UI.,Only for Pages; shown in UI.,N
Instagram,Business/Creator Account,Post Status,Not visible in UI; available via API for partners.,Not visible in UI; available via API for partners.,N
Instagram,Public Accounts,Post ID,Always available via API and UI.,Always available via API and UI.,Y
Instagram,Public Accounts,Page/Profile/Group ID,Always available via API and UI.,Always available via API and UI.,Y
Instagram,Public Accounts,Permalink/Canonical URL,Available via UI and API when post is public.,Available via UI and API when post is public.,Y
Instagram,Public Accounts,Media Type,Available when post includes media.,Available when post includes media.,Y
Instagram,Public Accounts,Post Type,"Visible when post is categorized (e.g., shared link, status).","Visible when post is categorized (e.g., shared link, status).",Y
Instagram,Public Accounts,Branded Content Sponsor,Available only if post is branded content.,Available only if post is branded content.,N
Instagram,Public Accounts,Timestamp (Exact),Included in API and visible in UI.,Included in API and visible in UI.,Y
Instagram,Public Accounts,Edit History / Last Updated Time,May be visible in UI; limited API access.,May be visible in UI; limited API access.,N
Instagram,Public Accounts,Engagement Breakdown,Available only via API for reactions breakdown.,Available only via API for reactions breakdown.,Y
Instagram,Public Accounts,Platform Source,"Shown for some posts (e.g., mobile/web).","Shown for some posts (e.g., mobile/web).",Y
Instagram,Public Accounts,Video Duration,Only available for video posts.,Only available for video posts.,Y
Instagram,Public Accounts,Is Live Video,Only applicable to live video content.,Only applicable to live video content.,N
Instagram,Public Accounts,Is Crossposted,Only shown for crossposted videos.,Only shown for crossposted videos.,N
Instagram,Public Accounts,Thumbnail URL,Shown for videos and links.,Shown for videos and links.,Y
Instagram,Public Accounts,Caption,Applies to video content; shown in UI and API.,Applies to video content; shown in UI and API.,Y
Instagram,Public Accounts,Hashtags,Parsed from post text if present.,Parsed from post text if present.,Y
Instagram,Public Accounts,Mentions,Shown when post includes mentions.,Shown when post includes mentions.,Y
Instagram,Public Accounts,Page Verification Status,Only for Pages; shown in UI.,Only for Pages; shown in UI.,N
Instagram,Public Accounts,Post Status,Not visible in UI; available via API for partners.,Not visible in UI; available via API for partners.,N
